Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
Seven bee,https://www.crunchbase.com/organization/seven-bee,11-50,Active,https://www.7bee.net/,hello@7bee.net,,,,,,,,,,"Events, Internet Services, Media and Entertainment, Music and Audio, Software","Event Management, Events, Media and Entertainment, Music, Music Streaming, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-04-26,day,,
Hyperion Japan,https://www.crunchbase.com/organization/hyperion-japan,,Active,http://www.hyperion.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-05-24,day,,
ITI Japan,https://www.crunchbase.com/organization/iti-japan,51-100,Active,http://www.iti-inc.co.jp/,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","SNS, Video Editing",,,,,,,,,,"Tokyo, Tokyo, Japan",,2012-06-11,day,,
Nexter,https://www.crunchbase.com/organization/nexter,,Closed,http://nexter-nippon.com,,,,,,,,,,,"Sales and Marketing, Software","SNS, Social Media Marketing",,,,,,,,,,"Tokyo, Tokyo, Japan",,2011-12-25,day,,
Moneep,https://www.crunchbase.com/organization/moneep,,Active,https://moneep.com/company/,contact@moneep.com,,,,,,,,,,"Media and Entertainment, Software","Content, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-01-05,day,,
Onely Listed,https://www.crunchbase.com/organization/onely-listed,,Active,https://onelilisted.com,info@onelilisted.com,+81 03-4400-9263,,,,,,,,,"Information Technology, Media and Entertainment, Software, Video","Information Technology, SNS, Video",,,,,,,,,,"Shinjuku, Yamanashi, Japan",,2022-01-18,day,,
theAstate,https://www.crunchbase.com/organization/theastate,,Active,https://www.astate.ai/,contact@astate.ai,+81 03-5157-2400,,,,,,,,,"Information Technology, Software","Information Technology, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Oceans Japan,https://www.crunchbase.com/organization/oceans-japan,,Closed,https://www.oceans-inc.company/,,,,,,,,,,,"Software, Sports","SNS, Sports",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-08-01,day,,
AmpersAnd Japan,https://www.crunchbase.com/organization/ampersand-japan,,Active,http://ampersand.co.jp,,,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS, Web Development",,,,,,,,,,"Osaka, Osaka, Japan",,2017-06-01,day,,
LUXEYS,https://www.crunchbase.com/organization/luxeys,,Active,https://luxeys.co.jp/,,,,,,,,,,,"Media and Entertainment, Software, Sports","Media and Entertainment, SNS, Sports",,,,,,,,,,"Tokyo, Tokyo, Japan",,2005-04-06,day,,
Yz Gum - DX PoC コンサルティング,https://www.crunchbase.com/organization/yz-gum-dx-poc-コンサルティング-494b,11-50,Active,https://yzgum.com/,contact-yzgum@archeco.co.jp,03-6433-5306,,,,,,,,,"Apps, Design, Internet Services, Mobile, Professional Services, Sales and Marketing, Software","Consulting, Mobile Apps, SaaS, SEO, SNS, Software, UX Design, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2019-03-01,month,,
PROJECTEUUM,https://www.crunchbase.com/organization/projecteuum,,Active,https://www.projecteuum.com,brand@projecteuum.com,050-7888-0021,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Consulting, Digital Marketing, SNS",,,,,,,,,,"Mapo, Seoul-t'ukpyolsi, South Korea",,,,,
Shanghai Youtong Network,https://www.crunchbase.com/organization/shanghai-youtong-network,1-10,Active,http://www.youtongnetwork.com,cyli@youtongnetwork.com,,,,,,,,,,Software,SNS,,,,,,,,,,,,2023-06-02,day,,
Graham,https://www.crunchbase.com/organization/graham-2449,51-100,Active,https://graham.co.jp/,,+81 03-6277-2758,,,,,,,,,"Advertising, Professional Services, Sales and Marketing, Software","Advertising, Recruiting, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-12-26,day,,
Active,https://www.crunchbase.com/organization/active-8abc,,Active,https://activebz.com/,info@activebz.com,+81 03-6824-6990,,,,,,,,,"Internet Services, Media and Entertainment, Professional Services, Software","Consulting, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2022-05-02,day,,
LetterFan,https://www.crunchbase.com/organization/letter-fan,,Active,https://letterfan.jp,support@letterfan.jp,,,,,,,,,,"Media and Entertainment, Software, Video","Digital Entertainment, SNS, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-07-07,day,,
Ulysses,https://www.crunchbase.com/organization/ulysses-e32b,,Closed,http://www.e-ulysses.co.jp/,,,,,,,,,,,"Real Estate, Software","Real Estate, SNS",,,,,,,,,,"Higashi-murayama, Tokyo, Japan",,,,,
Adolescence,https://www.crunchbase.com/organization/adolescence,11-50,Active,https://adolescence.co.jp/,info@adolescence.co.jp,03-6854-0075,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, Digital Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-12-01,day,,
Catbeard,https://www.crunchbase.com/organization/catbeard,,Active,,,,,,,,,,,,"Media and Entertainment, Software","Digital Entertainment, Media and Entertainment, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,,,New Paradigm Investment,
Nangok Software,https://www.crunchbase.com/organization/nangok-software,,Active,https://7659sw.com/,kahata@7659sw.com,0366628960,,,,,,,,,"Hardware, Software","SNS, Software, Task Management, Telecommunications",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-05-01,day,,https://www.linkedin.com/company/nangok-software
pm.T,https://www.crunchbase.com/organization/pm-t,,Active,https://pm-t.online/,,,,,,,,,,,"Professional Services, Real Estate, Software","Construction, Consulting, SNS",,,,,,,,,,"Osaka, Osaka, Japan",,2021-02-12,day,,
Amun,https://www.crunchbase.com/organization/amun-a9c2,,Active,https://atmaaside.wixsite.com/mysite,info@amun.co.jp,03-6225-2915,,,,,,,,,"Commerce and Shopping, Food and Beverage, Internet Services, Media and Entertainment, Software","Consumer Reviews, Food and Beverage, Internet, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-07-01,month,,https://www.linkedin.com/company/desempregado-e-agora
AIInfluencer,https://www.crunchbase.com/organization/aiinfluencer,,Active,https://ai-influencer.jp/,info@ai-influencer.jp,+81 50 6876 5266,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Metaverse, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-01-01,month,,
LIFE STYLE,https://www.crunchbase.com/organization/life-style,,Active,https://l-s.co.jp/,,,,,,,,,,,"Hardware, Media and Entertainment, Software","Content, SNS, Virtual Reality",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-03-10,day,,https://www.linkedin.com/company/lifestyleinc
INTRODUCTION,https://www.crunchbase.com/organization/introduction,,Closed,http://introduction.style/,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","SNS, TV Production, Video Editing",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-08-02,day,,
UniverCity,https://www.crunchbase.com/organization/univercity-bfc3,,Closed,http://peepoo.jp/,,,,,,,,,,,"Apps, Internet Services, Media and Entertainment, Mobile, Software","Consumer Applications, Internet, Mobile Apps, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Aill,https://www.crunchbase.com/organization/aill,,Active,https://aill-navi.jp/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Internet, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Blockchain Lures,https://www.crunchbase.com/organization/blockchain-lures,1-10,Active,https://www.blockchain-lures.com ,info@blockchain-lures.com,,,,,,,,,,"Blockchain and Cryptocurrency, Other, Software","Blockchain, Non-Fungible Token (NFT), SNS",,,,,,,,,,"Sagamihara, Kanagawa, Japan",,,,,
pipa.jp,https://www.crunchbase.com/organization/pipa-jp,,Active,http://www.pipa.jp/,,,,,,,,,,,"Media and Entertainment, Software","Content, Media and Entertainment, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2008-02-14,day,,
Favolist5,https://www.crunchbase.com/organization/favolist5,,Active,,,,,,,,,,,,"Apps, Blockchain and Cryptocurrency, Internet Services, Software","Apps, Developer Platform, SNS, Web3",,,,,,,,,,"Koto, Tokyo, Japan",,2020-11-17,day,,
Deline.JY Inc.,https://www.crunchbase.com/organization/deline-jy-inc,1-10,Closed,http://www.delinejy.com,delinejy@gmail.com,+82-3782-4931,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Internet, Messaging, Mobile, SMS, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2008-10-01,day,Megazone,
VVLand,https://www.crunchbase.com/organization/vvland,,Active,https://vvland.jp/,info@vvland.jp,+81 3-6801-5587,,,,,,,,,"Professional Services, Sales and Marketing, Software","Intellectual Property, Management Consulting, Sales, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2022-12-12,day,,
Beaile Co.,https://www.crunchbase.com/organization/beaile-co,,Active,https://www.beaile.co.jp/,info@beaile.co.jp,+81-50-1808-5102,,,,,,,,,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Sales and Marketing, Software","Brand Marketing, Photography, SNS, Women's",,,,,,,,,,"Shinjuku, Yamanashi, Japan",,,,,
irodori,https://www.crunchbase.com/organization/irodori,,Active,https://irodori.social/,,81 3-6804-5207,,,,,,,,,"Advertising, Events, Media and Entertainment, Sales and Marketing, Software","Advertising, Event Management, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-09-01,day,,
FinT,https://www.crunchbase.com/organization/fint-21e1,11-50,Active,https://fint.co.jp/,,,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Marketing, Media and Entertainment, SNS",,,,,,,,,,"Akasaka, Tokyo, Japan",,2017-03-01,day,,
Remo Labo,https://www.crunchbase.com/organization/remo-labo,1-10,Active,https://lp.remolabo.jp/,suppot@remolabo.com,+91 080-7985-8556,,,,,,,,,"Education, Sales and Marketing, Software","E-Learning, SNS, Social Media Marketing, Training",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-05-01,month,,
Grandir Japan,https://www.crunchbase.com/organization/grandir-japan,,Active,http://gd-g.jp/index.html,,,,,,,,,,,"Gaming, Software","Gaming, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Joint-stock company Sakura City,https://www.crunchbase.com/organization/joint-stock-company-sakura-city,,Closed,http://www.sakuracity.ne.jp/,,,,,,,,,,,"Information Technology, Software","CMS, SNS",,,,,,,,,,"Saitama, Saitama, Japan",,2003-04-01,month,,
Syoya,https://www.crunchbase.com/organization/syoya,11-50,Active,https://syoya.com/,,,,,,,,,,,"Community and Lifestyle, Internet Services, Software","Internet, Lifestyle, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2009-01-15,day,VOYAGE VENTURES,https://www.linkedin.com/company/syoya-inc-
SINKANURSE,https://www.crunchbase.com/organization/sinkanurse,,Active,http://aline.jp/,,,,,,,,,,,"Health Care, Software","Nursing and Residential Care, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-01-01,day,,
"SaaS&CRM Consulting., Ltd",https://www.crunchbase.com/organization/saas-crm-consulting-ltd,1-10,Closed,http://bestcrm-d2.r-cms.jp,tshindo@saasconsulting.jp,044-986-6244,,,,,,,,,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing, Software","Blogging Platforms, Consulting, CRM, Enterprise Software, PaaS, SaaS, SEO, SNS",,,,,,,,,,"Kawasaki, Kanagawa, Japan",,2009-03-16,day,,
call.jp,https://www.crunchbase.com/organization/call-jp,,Active,https://www.call.jp,,+81 80-5696-5558,,,,,,,,,"Apps, Commerce and Shopping, Data and Analytics, Design, Information Technology, Software","Apps, Data Visualization, Point of Sale, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
No.K,https://www.crunchbase.com/organization/no-k,,Active,https://www.no-k.co.jp/,info@mysite.com,06-6585-9778,,,,,,,,,"Events, Media and Entertainment, Professional Services, Software","Consulting, Event Management, Recruiting, SNS",,,,,,,,,,"Osaka, Osaka, Japan",,2020-12-01,month,,
COLLABO Japan,https://www.crunchbase.com/organization/collabo-japan,,Active,http://www.collaboinc.co.jp/,,,,,,,,,,,"Real Estate, Sales and Marketing, Software","Construction, Sales, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2008-11-11,day,,
techno-art,https://www.crunchbase.com/organization/techno-art,,Active,http://technoart-tokyo.com,,,,,,,,,,,"Design, Software","Graphic Design, SNS, Web Design",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-03-03,day,,
Relation Technology,https://www.crunchbase.com/organization/relation-technology,,Closed,https://relation-tech.com,,,,,,,,,,,"Apps, Mobile, Software","Apps, Mobile Apps, SNS",,,,,,,,,,"Ohashi, Iwate, Japan",,,,,
CultStory,https://www.crunchbase.com/organization/cultstory,1-10,Closed,http://www.cultstory.com,app@cultstory.com,(028)650-2086,,,,,,,,,"Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Platforms, Software, Travel and Tourism","Android, iOS, Location Based Services, Mobile, SNS, Travel",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2009-09-28,day,,http://www.linkedin.com/company/2170350
Uptoera,https://www.crunchbase.com/organization/uptoera,,Active,https://www.uptoeraofficial.com ,,,,,,,,,,,"Commerce and Shopping, Internet Services, Professional Services, Sales and Marketing, Software","E-Commerce Platforms, Management Consulting, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-03-26,day,,
CCIHR,https://www.crunchbase.com/organization/ccihr,1-10,Active,http://www.ccihr.com,ccihrcom@163.com,86.2886950256,,,,,,,,,"Professional Services, Software","Recruiting, SNS",,,,,,,,,,"Chengdu, Sichuan, China",,2010-06-01,day,,
QNARY JAPAN,https://www.crunchbase.com/organization/qnary-japan,,Active,https://qnary.co.jp/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-03-01,day,,
THISGROUND,https://www.crunchbase.com/organization/thisground,1-10,Active,http://www.thisground.com,mainoffice@thisground.com,,,,,,,,,,"Media and Entertainment, Software","Art, SNS",,,,,,,,,,,,2013-11-19,day,,
Tongxue,https://www.crunchbase.com/organization/tongxue,11-50,Closed,http://www.tongxue.com,,86 13 9105 86524,,,,,,,,,"Internet Services, Software","SNS, Social Network",,,,,,,,,,"Beijing, Beijing, China",,2006-01-01,year,Tano Capital,
SKIYAKI APPS,https://www.crunchbase.com/organization/skiyaki-apps,,Active,https://skiyakiapps.com/,contact@skiyakiapps.com,,,,,,,,,,"Media and Entertainment, Software","Media and Entertainment, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-05-01,day,i-mobile,
Veggie,https://www.crunchbase.com/organization/veggie,,Active,https://www.veggiejapan.com/blank-3,info@veggiejapan.com,,,,,,,,,,"Internet Services, Media and Entertainment, Software","SNS, Social Media, Social Network",,,,,,,,,,"Itabashicho, Tokyo, Japan",,2020-04-01,day,,
Ileo,https://www.crunchbase.com/organization/ileo,1-10,Active,https://ileo.tokyo ,,+81-03-6821-1690,,,,,,,,,"Media and Entertainment, Other, Software","B2C, Media and Entertainment, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-10-30,day,,
YU-CRE,https://www.crunchbase.com/organization/yu-cre,,Active,http://www.y-create.co.jp,,,,,,,,,,,"Apps, Software","SNS, Task Management, Web Apps",,,,,,,,,,"Tokyo, Tokyo, Japan",,1984-01-01,day,,
Ceremony,https://www.crunchbase.com/organization/ceremony,,Active,https://weareceremony.com/,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software, Video","Content, SNS, Video Editing",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
to 1 LABO,https://www.crunchbase.com/organization/to-1-labo,,Active,http://to1-labo.com/,,03-5962-7575,,,,,,,,,"Professional Services, Sales and Marketing, Software","Consulting, Marketing, SNS",,,,,,,,,,"Kawasaki, Kanagawa, Japan",,2018-05-28,day,Agile Media Network,
Gathering,https://www.crunchbase.com/organization/gathering-7ae5,,Active,http://hustlers.co.kr/,neil@hustlers.co.kr,010-4880-5487,,,,,,,,,Software,SNS,,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2022-01-01,year,Company X,
Ticker Talk,https://www.crunchbase.com/organization/ticker-talk,,Active,https://tickertalk.co.jp/,,,,,,,,,,,"Financial Services, Media and Entertainment, Software","Digital Media, Financial Services, SNS",,,,,,,,,,,,,,,
RICOFUL,https://www.crunchbase.com/organization/ricoful,,Active,http://ricoful.com/,info@ricoful.com,,,,,,,,,,"Internet Services, Media and Entertainment, Software","Internet, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-11-01,month,,
Qoonest,https://www.crunchbase.com/organization/qoonest,,Active,http://www.qoonest.co.jp,,,,,,,,,,,Software,SNS,,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-07-17,day,,
Sports Plaza Yamashin,https://www.crunchbase.com/organization/sports-plaza-yamashin,101-250,Active,http://www.sp-yamashin.jp,,+81 029 305 0150,,,,,,,,,"Sales and Marketing, Software, Sports","Sales, SNS, Sports, Swimming",,,,,,,,,,"Mito, Ibaraki, Japan",,1983-07-18,day,,
Emotion,https://www.crunchbase.com/organization/emotion-d738,,Closed,http://the-emotion.co.jp,,,,,,,,,,,"Apps, Consumer Electronics, Hardware, Software","Apps, Computer, SNS, Software",,,,,,,,,,"Musashino, Tokyo, Japan",,2015-12-01,month,,
Owl Note,https://www.crunchbase.com/organization/owl-note,,Active,https://adreco.net ,,,,,,,,,,,"Apps, Community and Lifestyle, Software, Travel and Tourism","Apps, Leisure, SNS, Travel",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Collabo Technology Japan,https://www.crunchbase.com/organization/collabo-technology-japan,,Active,https://collatech.co.jp,,,,,,,,,,,"Information Technology, Sales and Marketing, Software","IT Management, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-06-01,day,,
RicecurryFactory,https://www.crunchbase.com/organization/ricecurryfactory,,Active,http://ricecurry.co.jp/,,,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-04-01,day,,
9Solution,https://www.crunchbase.com/organization/9solution,,Active,https://9solution.wixsite.com/,,,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, Marketing, SNS",,,,,,,,,,"São Paulo, Sao Paulo, Brazil",,2018-01-01,year,,https://www.linkedin.com/company/desempregado-e-agora
Unicorn,https://www.crunchbase.com/organization/unicorn-bdb9,,Closed,http://ucorn.co.jp,,,,,,,,,,,"Apps, Media and Entertainment, Mobile, Software, Video","Apps, Mobile Apps, SNS, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Sacred Force,https://www.crunchbase.com/organization/sacred-force,,Active,http://www.sacredforce.co.jp,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-04-03,day,,
ZaaZ Japan,https://www.crunchbase.com/organization/zaaz-japan,,Active,http://zaaz.jp/,,,,,,,,,,,"Food and Beverage, Software","Food and Beverage, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2009-10-20,day,,
TECH MONSTER Japan,https://www.crunchbase.com/organization/tech-monster-japan,,Active,http://techmonster.co.jp/,,,,,,,,,,,"Hardware, Media and Entertainment, Software","Content, SNS, Virtual Reality",,,,,,,,,,"Himeji, Hyogo, Japan",,,,,
M-joy,https://www.crunchbase.com/organization/m-joy,,Active,http://www.m-joy.co.jp/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
Ripuca,https://www.crunchbase.com/organization/ripuca,,Active,https://ripuca.co.jp/,,,,,,,,,,,"Advertising, Community and Lifestyle, Sales and Marketing, Software","Advertising, Pet, SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2020-04-01,day,,
All About Navi,https://www.crunchbase.com/organization/all-about-navi,1-10,Active,https://www.allaboutnavi.co.jp/,,,,,,,,,,,"Information Technology, Professional Services, Software","Consulting, Information Technology, SNS, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",,2013-10-17,day,,
OPeNBooK Japan,https://www.crunchbase.com/organization/openbook-japan,,Active,http://openbook.jp/index.html,,,,,,,,,,,"Gaming, Media and Entertainment, Software","Content, Gaming, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2000-03-01,day,,
Zetta Linx,https://www.crunchbase.com/organization/zetta-linx,,Active,https://www.zettalinx.co.jp/,,,,,,,,,,,"Education, Privacy and Security, Software","Education, Security, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2011-07-01,day,,
phonogram,https://www.crunchbase.com/organization/phonogram,,Active,https://www.phonogram.co.jp/,,,,,,,,,,,"Hardware, Software","SNS, Task Management, Telecommunications",,,,,,,,,,"Hiroshima, Hiroshima, Japan",,2003-02-14,day,,https://www.linkedin.com/company/phonogram-inc-
Tokque Corp.,https://www.crunchbase.com/organization/tokque-corp-,1-10,Closed,http://www.tokque.com/en,contact@tokque.com,+82317090818,,,,,,,,,"Information Technology, Mobile, Platforms, Software","Information Services, Information Technology, iOS, SNS",,,,,,,,,,"Seongnam, Kyonggi-do, South Korea",,2014-08-18,day,,
Raideri,https://www.crunchbase.com/organization/raideri,11-50,Active,https://lideli.co.jp,info@lideli.co.jp,+81 098 882 8225,,,,,,,,,"Design, Information Technology, Software","IT Management, SNS, Software, Web Design",,,,,,,,,,"Naha, Okinawa, Japan",,1998-01-01,year,,https://www.linkedin.com/company/lideli-co../
Anokuma,https://www.crunchbase.com/organization/anokuma,,Active,https://anokuma.jp/,,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Software","Content, Content Marketing, Creative Agency, Internet, SNS",,,,,,,,,,"Daimon, Nagano, Japan",,2022-05-02,day,,
Sanzo,https://www.crunchbase.com/organization/sanzo-223f,,Active,https://sanzooo.com/,,,,,,,,,,,"Advertising, Media and Entertainment, Professional Services, Sales and Marketing, Software","Advertising, Business Development, Consulting, Digital Media, SNS",1,0,Testing,,,,,,,"Niigata, Niigata, Japan",,2021-03-03,day,,
WATSON Japan,https://www.crunchbase.com/organization/watson-japan,,Active,http://watsonad.jp/,,,,,,,,,,,"Sales and Marketing, Software","Marketing, SNS",,,,,,,,,,"Ota, Gumma, Japan",,2002-01-18,day,,
Snaplace,https://www.crunchbase.com/organization/snaplace,,Active,https://snaplace.jp/,info@snaplace.jp,03-6822-4112,,,,,,,,,"Internet Services, Sales and Marketing, Software","Internet, Marketing, SNS, Software, Web Development",,,,,,,,,,"Higashi-shinagawa, Tokyo, Japan",,2016-03-15,day,,
coVoIP,https://www.crunchbase.com/organization/covoip,1-10,Active,https://covoip.com/,info@covoip.com,31-85-88-88-88-0,,,,,,,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Messaging, SNS, Telecommunications",,,,,,,,,,"Leiden, Zuid-Holland, The Netherlands",,2014-01-01,year,,https://www.linkedin.com/company/covoip/
Happylogue,https://www.crunchbase.com/organization/happylogue,,Active,https://happylogue.com/,,,,,,,,,,,"Community and Lifestyle, Internet Services, Media and Entertainment, Software","Communities, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-04-18,day,,
Univing,https://www.crunchbase.com/organization/univing,,Closed,http://univing.com,admin@univing.com,,,,,,,,,,"Education, Other, Software","Education, SNS, Universities",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,,,,
reallymet,https://www.crunchbase.com/organization/reallymet,1-10,Closed,http://www.reallymet.com,dkim@platypusnetwork.com,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Navigation and Mapping, Platforms, Software","Information Technology, iOS, Location Based Services, Messaging, Mobile, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2010-12-16,day,,
GYMNOTE,https://www.crunchbase.com/organization/gymnote,,Active,https://www.gymnote.co.kr/,gymnote@gymnote.io,82 1600-7267,,,,,,,,,"Health Care, Software","Health Care, SNS, Software",,,,,,,,,,"Yangsan, Kyongsang-namdo, South Korea",,2019-10-28,day,,
Inflife,https://www.crunchbase.com/organization/inflife,,Active,https://inflife.co.jp,,,,,,,,,,,"Apps, Sales and Marketing, Software","App Discovery, Apps, SNS, Web Apps",,,,,,,,,,"Roppongi, Tokyo, Japan",,2018-07-01,month,,
Hadol,https://www.crunchbase.com/organization/hadol,,Active,https://hadol.net,,,,,,,,,,,"Events, Media and Entertainment, Software, Sports","Content, Events, SNS, Sports",,,,,,,,,,"Meguro, Hokkaido, Japan",,,,,
DNA Solution Bank,https://www.crunchbase.com/organization/dna-solution-bank,,Active,https://www.dnasb.jp/,,03 - 5244-9503,,,,,,,,,"Financial Services, Information Technology, Lending and Investments, Software","Banking, Information Technology, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-01-01,year,,
Laflowa,https://www.crunchbase.com/organization/laflowa,,Active,https://laflowa.com/,,+81 03 6895 0129,,,,,,,,,"Media and Entertainment, Professional Services, Software","Art, Consulting, Content, SNS",,,,,,,,,,"Minato, Chiba, Japan",,,,,
Stellalink,https://www.crunchbase.com/organization/stellalink,,Active,http://www.stellalink.co.jp/,,,,,,,,,,,"Media and Entertainment, Software","Content, Media and Entertainment, SNS",,,,,,,,,,"Yamaguchi, Yamaguchi, Japan",,,,,
Arange,https://www.crunchbase.com/organization/arange,,Active,http://www.arange.co.jp,info@arange.co.jp,+81 3-3875-0455,,,,,,,,,"Advertising, Data and Analytics, Professional Services, Sales and Marketing, Software","Advertising, Analytics, Consulting, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-03-01,day,,
LUXALA,https://www.crunchbase.com/organization/luxala,,Active,http://www.luxala.com/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Media and Entertainment, Science and Engineering, Software","Artificial Intelligence (AI), Content, Gaming, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,1975-01-01,day,,
ENTREPRENEUR Japan,https://www.crunchbase.com/organization/entrepreneur-japan,,Active,https://www.entre-preneur.co.jp/,,,,,,,,,,,"Financial Services, Information Technology, Sales and Marketing, Software","Financial Services, SNS, Social CRM, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2000-11-06,day,,
Blue Note,https://www.crunchbase.com/organization/blue-note,,Closed,http://blue-note.net/,,,,,,,,,,,"Internet Services, Media and Entertainment, Other, Software","Consumer, Internet, Online Portals, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2011-04-01,month,,
